disease,disease_display,category,n_papers,sii,ktp,rcc,ssa_dalys_2021,ssa_deaths_2021,ssa_prevalence_2021,ssa_incidence_2021,global_rank_dalys,ssa_rank_dalys,who_priority,ntd_classification,key_risk_factors_ssa,diagnostic_availability_ssa,treatment_access_ssa,prevention_interventions,key_african_studies,policy_frameworks,data_source_notes
Conduct_disorder,Conduct disorder,Mental,6012,0.0033469724003225565,0.9983583092689514,0.005803059320896864,,,,,,,,False,,,,,,,Populate from GBD 2021 Results Tool and WHO GHO
Police_conflict_and_executions,Police conflict and executions,Injury,2599,0.002992486348375678,0.9982592463493347,0.006150481756776571,,,,,,,,False,,,,,,,Populate from GBD 2021 Results Tool and WHO GHO
Other_transport_injuries,Other transport injuries,Injury,759,0.00280177709646523,0.9982135891914368,0.006285442505031824,,,,,,,,False,,,,,,,Populate from GBD 2021 Results Tool and WHO GHO
African_trypanosomiasis,African trypanosomiasis,NTD,4845,0.002652810886502266,0.9985998868942261,0.007300170138478279,,,,,,,,True,,,,,,,Populate from GBD 2021 Results Tool and WHO GHO
Onchocerciasis,Onchocerciasis,NTD,2345,0.0025801307056099176,0.9987198114395142,0.006194391753524542,,,,,,,,True,,,,,,,Populate from GBD 2021 Results Tool and WHO GHO
Tracheal,Tracheal,NCD-Cancer,1146,0.002458406612277031,0.9983752965927124,0.007255407050251961,,,,,,,,False,,,,,,,Populate from GBD 2021 Results Tool and WHO GHO
Ebola,Ebola,Infectious,10194,0.002445325255393982,0.9986464381217957,0.00712676253169775,,,,,,,,False,,,,,,,Populate from GBD 2021 Results Tool and WHO GHO
Conflict_and_terrorism,Conflict and terrorism,Injury,15089,0.002443463308736682,0.9984331727027893,0.00724823446944356,,,,,,,,False,,,,,,,Populate from GBD 2021 Results Tool and WHO GHO
Exposure_to_forces_of_nature,Exposure to forces of nature,Injury,27992,0.002425660379230976,0.9981935024261475,0.007913259789347649,,,,,,,,False,,,,,,,Populate from GBD 2021 Results Tool and WHO GHO
Zika_virus,Zika virus,Infectious,12776,0.002414488699287176,0.998604953289032,0.007635738700628281,,,,,,,,False,,,,,,,Populate from GBD 2021 Results Tool and WHO GHO
Interpersonal_violence,Interpersonal violence,Injury,86268,0.002398492069914937,0.9987782835960388,0.006902297958731651,,,,,,,,False,,,,,,,Populate from GBD 2021 Results Tool and WHO GHO
Lymphatic_filariasis,Lymphatic filariasis,NTD,3354,0.002374436939135194,0.9988543391227722,0.006120411213487387,,,,,,,,True,,,,,,,Populate from GBD 2021 Results Tool and WHO GHO
Guinea_worm_disease,Guinea worm disease,NTD,429,0.002285813679918647,0.9988042116165161,0.007910522632300854,,,,,,,,True,,,,,,,Populate from GBD 2021 Results Tool and WHO GHO
Fungal_skin_diseases,Fungal skin diseases,Other,12452,0.0022696275264024734,0.9985362887382507,0.006798600312322378,,,,,,,,False,,,,,,,Populate from GBD 2021 Results Tool and WHO GHO
Chagas_disease,Chagas disease,NTD,17438,0.0022344356402754784,0.9986300468444824,0.007747333962470293,,,,,,,,True,,,,,,,Populate from GBD 2021 Results Tool and WHO GHO
Cystic_echinococcosis,Cystic echinococcosis,NTD,11794,0.0022014654241502285,0.9984024167060852,0.007459771353751421,,,,,,,,True,,,,,,,Populate from GBD 2021 Results Tool and WHO GHO
Attention-deficit_hyperactivity_disorder,Attention-deficit hyperactivity disorder,Mental,44908,0.0021696758922189474,0.999022901058197,0.006137066055089235,,,,,,,,False,,,,,,,Populate from GBD 2021 Results Tool and WHO GHO
Yellow_fever,Yellow fever,NTD,5685,0.0021509421057999134,0.9989386200904846,0.007661812473088503,,,,,,,,True,,,,,,,Populate from GBD 2021 Results Tool and WHO GHO
Leishmaniasis,Leishmaniasis,NTD,24632,0.002150160726159811,0.9988369941711426,0.007646894082427025,,,,,,,,True,,,,,,,Populate from GBD 2021 Results Tool and WHO GHO
