disease,disease_display,n_papers,sii,ktp,rcc,mean_drift
Conduct_disorder,Conduct disorder,6012,0.0033469724003225565,0.9983583092689514,0.005803059320896864,0.00014329873374663293
Police_conflict_and_executions,Police conflict and executions,2599,0.002992486348375678,0.9982592463493347,0.006150481756776571,0.0002055145159829408
Other_transport_injuries,Other transport injuries,759,0.00280177709646523,0.9982135891914368,0.006285442505031824,0.0006867647171020508
African_trypanosomiasis,African trypanosomiasis,4845,0.002652810886502266,0.9985998868942261,0.007300170138478279,0.0001157426813733764
Onchocerciasis,Onchocerciasis,2345,0.0025801307056099176,0.9987198114395142,0.006194391753524542,0.0001713657402433455
Tracheal,Tracheal,1146,0.002458406612277031,0.9983752965927124,0.007255407050251961,0.0004099202051293105
Ebola,Ebola,10194,0.002445325255393982,0.9986464381217957,0.00712676253169775,0.00020124591537751257
Conflict_and_terrorism,Conflict and terrorism,15089,0.002443463308736682,0.9984331727027893,0.00724823446944356,9.111945109907538e-05
Exposure_to_forces_of_nature,Exposure to forces of nature,27992,0.002425660379230976,0.9981935024261475,0.007913259789347649,0.0001186820154543966
Zika_virus,Zika virus,12776,0.002414488699287176,0.998604953289032,0.007635738700628281,0.0002974501112475991
Interpersonal_violence,Interpersonal violence,86268,0.002398492069914937,0.9987782835960388,0.006902297958731651,2.4868892069207504e-05
Lymphatic_filariasis,Lymphatic filariasis,3354,0.002374436939135194,0.9988543391227722,0.006120411213487387,0.00011932134657399729
Guinea_worm_disease,Guinea worm disease,429,0.002285813679918647,0.9988042116165161,0.007910522632300854,0.0010221791453659534
Fungal_skin_diseases,Fungal skin diseases,12452,0.0022696275264024734,0.9985362887382507,0.006798600312322378,7.002628990449011e-05
Chagas_disease,Chagas disease,17438,0.0022344356402754784,0.9986300468444824,0.007747333962470293,5.605129263130948e-05
Cystic_echinococcosis,Cystic echinococcosis,11794,0.0022014654241502285,0.9984024167060852,0.007459771353751421,7.275434472830966e-05
Attention-deficit_hyperactivity_disorder,Attention-deficit hyperactivity disorder,44908,0.0021696758922189474,0.999022901058197,0.006137066055089235,2.1478304915945046e-05
Yellow_fever,Yellow fever,5685,0.0021509421057999134,0.9989386200904846,0.007661812473088503,0.00015995594731066376
Leishmaniasis,Leishmaniasis,24632,0.002150160726159811,0.9988369941711426,0.007646894082427025,4.395154974190518e-05
"Inguinal,_femoral,_and_abdominal_hernia","Inguinal, femoral, and abdominal hernia",13350,0.0021087294444441795,0.9985888004302979,0.0063039991073310375,6.009065327816643e-05
Anxiety_disorders,Anxiety disorders,61312,0.002061313483864069,0.999101996421814,0.006286961492151022,1.8319258742849343e-05
Invasive_Non-typhoidal_Salmonella_(iNTS),Invasive Non-typhoidal Salmonella (iNTS),13791,0.0020467103458940983,0.9987495541572571,0.008020375855267048,6.19040074525401e-05
Trachoma,Trachoma,2072,0.0020336199086159468,0.9986234307289124,0.006551122758537531,0.00020714283164124936
Cysticercosis,Cysticercosis,4651,0.0020278238225728273,0.998711884021759,0.006797312758862972,0.00012194156443001702
Intestinal_nematode_infections,Intestinal nematode infections,26256,0.0020175366662442684,0.9989097714424133,0.0068988194689154625,3.4139706258429214e-05
Foreign_body,Foreign body,32632,0.001994349993765354,0.9986722469329834,0.00719691114500165,3.639551141532138e-05
Self-harm,Self-harm,58732,0.001985883805900812,0.9990158081054688,0.006764611229300499,2.2457195882452652e-05
Iodine_deficiency,Iodine deficiency,3368,0.0019743209704756737,0.9986364841461182,0.006030958611518145,0.00013724803284276277
Aortic_aneurysm,Aortic aneurysm,48286,0.001954616978764534,0.9987398982048035,0.006879290100187063,1.970392077055294e-05
Food-borne_trematodiases,Food-borne trematodiases,17465,0.001953926170244813,0.9989221096038818,0.007281002122908831,5.787152622360736e-05
Paralytic_ileus_and_intestinal_obstruction,Paralytic ileus and intestinal obstruction,23965,0.001930069294758141,0.998816192150116,0.006664149463176727,3.919692971976474e-05
Road_injuries,Road injuries,30365,0.001912513980641961,0.9987308382987976,0.0067068953067064285,4.201439878670499e-05
Non-rheumatic_valvular_heart_disease,Non-rheumatic valvular heart disease,77007,0.0018826377345249057,0.9988960027694702,0.006853332743048668,1.7963922800845467e-05
Dengue,Dengue,29945,0.00187530810944736,0.9990274906158447,0.007273243740200996,3.756009755306877e-05
Typhoid_and_paratyphoid,Typhoid and paratyphoid,6240,0.0018723922548815608,0.9989438652992249,0.00801378209143877,0.0001251560024684295
Scabies,Scabies,2871,0.0018675822066143155,0.9988588690757751,0.0077439602464437485,0.0002447985752951354
Endocarditis,Endocarditis,25786,0.0018575984286144376,0.9987329840660095,0.007719812914729118,4.6796521928627044e-05
Animal_contact,Animal contact,10211,0.0017891174647957087,0.9987818598747253,0.007262870669364929,6.897403363836929e-05
Appendicitis,Appendicitis,16121,0.0017849546857178211,0.9988091588020325,0.006629957351833582,4.96277425554581e-05
Rabies,Rabies,9674,0.001778035773895681,0.998972475528717,0.007267190143465996,7.68762402003631e-05
Alcohol_use_disorders,Alcohol use disorders,39037,0.0017676412826403975,0.999144971370697,0.006683488842099905,2.377766759309452e-05
Falls,Falls,17388,0.001766393193975091,0.9987977147102356,0.0063303811475634575,5.896733273402788e-05
Autism_spectrum_disorders,Autism spectrum disorders,94640,0.0017586875474080443,0.999085009098053,0.007318068295717239,2.041000516328495e-05
Malaria,Malaria,78894,0.0017577052349224687,0.999054491519928,0.007671162951737642,2.6326913939556107e-05
Schistosomiasis,Schistosomiasis,14232,0.0017247832147404552,0.9990401268005371,0.0074540432542562485,6.382969877449796e-05
Drowning,Drowning,4323,0.0017017978243529797,0.9989187717437744,0.0071509345434606075,0.00017009102157317102
Atrial_fibrillation_and_flutter,Atrial fibrillation and flutter,101534,0.0016972101293504238,0.9990116357803345,0.006728275679051876,1.7273883713642135e-05
Bipolar_disorder,Bipolar disorder,46090,0.001680632820352912,0.9991981387138367,0.0062767015770077705,2.369972389715258e-05
COVID-19,COVID-19,52153,0.0016639137174934149,0.9988614320755005,0.007392252329736948,0.0002656153228599578
Other_unintentional_injuries,Other unintentional injuries,4626,0.0016587722348049283,0.9989564418792725,0.006881503388285637,0.00011832667951239273
Drug_use_disorders,Drug use disorders,177601,0.0016569036524742842,0.9991750121116638,0.006904706824570894,1.028867882268969e-05
Leprosy,Leprosy,8452,0.0016424661735072732,0.9988564848899841,0.007501645945012569,0.0001096908890758641
Acute_glomerulonephritis,Acute glomerulonephritis,32647,0.001632543746381998,0.9988569617271423,0.006603907328099012,2.910082184826024e-05
Schizophrenia,Schizophrenia,123827,0.001628828700631857,0.9992432594299316,0.0068526058457791805,1.5261080989148468e-05
Diphtheria,Diphtheria,9165,0.0016086995601654053,0.999047577381134,0.007566067855805159,9.02414321899414e-05
Neck_pain,Neck pain,16475,0.0016051107086241245,0.9989991188049316,0.0061543476767838,4.847233140026219e-05
Parkinson's_disease,Parkinson's disease,140133,0.001600571908056736,0.9989749789237976,0.007028219755738974,1.4807169463892933e-05
Low_back_pain,Low back pain,40563,0.0015933364629745483,0.99900883436203,0.0062567368149757385,2.2899646864971146e-05
Non-Hodgkin_lymphoma,Non-Hodgkin lymphoma,70213,0.0015899789286777377,0.9990898370742798,0.007000977173447609,1.635001171962358e-05
Pertussis,Pertussis,15935,0.00158539111725986,0.998947024345398,0.007903121411800385,5.73236211494077e-05
Measles,Measles,15392,0.001583241275511682,0.9991742372512817,0.007107824552804232,5.6005439546424896e-05
Vitamin_A_deficiency,Vitamin A deficiency,3135,0.0015678917989134789,0.9989964962005615,0.006557582411915064,0.00013083696831017733
Other_neglected_tropical_diseases,Other neglected tropical diseases,12657,0.0015351080801337957,0.9991307258605957,0.00821550004184246,0.00011125665332656354
Stomach_cancer,Stomach cancer,103320,0.001527757034637034,0.9994316101074219,0.007401833776384592,1.8727321730693802e-05
Vascular_intestinal_disorders,Vascular intestinal disorders,4226,0.0015216803876683116,0.999011218547821,0.006506042554974556,0.0001276593975489959
Osteoarthritis,Osteoarthritis,114321,0.001509783323854208,0.9990286827087402,0.006876267027109861,1.5893807358224876e-05
Tetanus,Tetanus,12379,0.001500709680840373,0.9991143345832825,0.007436290383338928,6.0780690546380356e-05
Neuroblastoma_and_other_peripheral_nervous_cell_tumors,Neuroblastoma and other peripheral nervous cell tumors,34075,0.001499040168710053,0.9991012811660767,0.007722422480583191,3.627171827247366e-05
Idiopathic_developmental_intellectual_disability,Idiopathic developmental intellectual disability,63611,0.0014971267664805055,0.9990602135658264,0.007498915772885084,1.860811244114302e-05
Alzheimer's_disease_and_other_dementias,Alzheimer's disease and other dementias,204293,0.0014890212332829833,0.9990776181221008,0.007225359324365854,1.4940133041818626e-05
Ischemic_heart_disease,Ischemic heart disease,109356,0.001487736706621945,0.999212384223938,0.007171096745878458,3.270919478381984e-05
Eye_cancer,Eye cancer,20518,0.0014800566714257002,0.9991307258605957,0.007083289325237274,4.412806811160408e-05
Alopecia_areata,Alopecia areata,4415,0.00147624674718827,0.9991047978401184,0.006488794926553965,0.00020206662884447724
Environmental_heat_and_cold_exposure,Environmental heat and cold exposure,10160,0.0014744317159056664,0.9989790916442871,0.007225159090012312,7.270161586347967e-05
