disease,category,mean_semantic_similarity,std_semantic_similarity,n_abstracts,n_scores
Acne_vulgaris,Other,0.892984,0.007260,16412,60
Acute_glomerulonephritis,Other,0.888482,0.008061,32647,60
Acute_hepatitis,Infectious,0.891991,0.007908,105425,60
Adverse_effects_of_medical_treatment,Injury,0.895595,0.008197,115362,59
African_trypanosomiasis,NTD,0.890459,0.007905,4845,60
Age-related_and_other_hearing_loss,Other,0.896589,0.007805,80002,60
Alcohol_use_disorders,Mental,0.891039,0.007350,39037,60
Alopecia_areata,Other,0.888958,0.008231,4415,60
Alzheimer's_disease_and_other_dementias,NCD-Other,0.898687,0.006372,204293,60
Animal_contact,Injury,0.895296,0.006649,10211,58
Anxiety_disorders,Mental,0.892011,0.007241,61312,60
Aortic_aneurysm,NCD-CVD,0.894676,0.006740,48286,60
Appendicitis,Other,0.891224,0.007467,16121,60
Asthma,NCD-Other,0.898816,0.007664,142197,60
Atrial_fibrillation_and_flutter,NCD-CVD,0.897652,0.008273,101534,60
Attention-deficit_hyperactivity_disorder,Mental,0.893809,0.008288,44908,60
Autism_spectrum_disorders,Mental,0.899000,0.007045,94640,60
Bacterial_skin_diseases,Other,0.889429,0.007254,14283,60
Bipolar_disorder,Mental,0.893074,0.007724,46090,60
Bladder_cancer,NCD-Cancer,0.893871,0.006201,54009,60
Blindness_and_vision_loss,Other,0.894941,0.007992,55325,60
Brain_and_central_nervous_system_cancer,NCD-Cancer,0.896317,0.008192,155117,60
Breast_cancer,NCD-Cancer,0.898005,0.007534,219224,59
COVID-19,Infectious,0.902984,0.006393,52153,60
Cardiomyopathy_and_myocarditis,NCD-CVD,0.898290,0.007344,109826,60
Cervical_cancer,NCD-Cancer,0.892718,0.007501,77362,60
Chagas_disease,NTD,0.899082,0.009886,17438,60
Chronic_kidney_disease,NCD-Other,0.894295,0.007466,136989,60
Chronic_obstructive_pulmonary_disease,NCD-Other,0.896949,0.006698,73460,60
Cirrhosis_and_other_chronic_liver_diseases,NCD-Other,0.892284,0.008579,115444,59
Colon_and_rectum_cancer,NCD-Cancer,0.898858,0.007237,190757,59
Conduct_disorder,Mental,0.889526,0.008978,6012,60
Conflict_and_terrorism,Injury,0.899413,0.007514,15089,59
Congenital_birth_defects,Other,0.895287,0.008294,207110,60
Cystic_echinococcosis,NTD,0.893359,0.007939,11794,60
Cysticercosis,NTD,0.893355,0.007538,4651,60
Decubitus_ulcer,Other,0.890318,0.006695,13194,60
Dengue,NTD,0.895492,0.008137,29945,60
Depressive_disorders,Mental,0.894645,0.006957,227813,60
Dermatitis,Other,0.896985,0.008216,77689,59
Diabetes_mellitus,NCD-Other,0.895141,0.008070,231620,59
Diarrheal_diseases,Infectious,0.895407,0.009422,115871,59
Dietary_iron_deficiency,Nutritional,0.886165,0.008608,22514,60
Diphtheria,Infectious,0.891388,0.006641,9165,60
Drowning,Injury,0.890289,0.008896,4323,60
Drug_use_disorders,Mental,0.896975,0.007920,177601,60
Eating_disorders,Mental,0.891225,0.007740,51541,60
Ebola,Infectious,0.896248,0.007094,10194,56
Encephalitis,Infectious,0.896314,0.006569,47767,60
Endocarditis,NCD-CVD,0.896965,0.008240,25786,60
"Endocrine,_metabolic,_blood,_and_immune_disorders",Other,0.894297,0.006693,219891,58
Environmental_heat_and_cold_exposure,Injury,0.891559,0.007107,10160,60
Esophageal_cancer,NCD-Cancer,0.890579,0.008205,51432,60
Exposure_to_forces_of_nature,Injury,0.897068,0.007879,27992,60
Exposure_to_mechanical_forces,Injury,0.888409,0.006974,17810,60
Eye_cancer,NCD-Cancer,0.890566,0.007261,20518,60
Falls,Injury,0.890583,0.007710,17388,60
"Fire,_heat,_and_hot_substances",Other,0.892169,0.007656,30292,59
Food-borne_trematodiases,NTD,0.896121,0.008227,17465,60
Foreign_body,Injury,0.894049,0.008288,32632,60
Fungal_skin_diseases,Other,0.892985,0.006416,12452,60
Gallbladder_and_biliary_diseases,NCD-Other,0.893093,0.007122,62746,60
Gallbladder_and_biliary_tract_cancer,NCD-Cancer,0.888071,0.006263,17652,60
Gout,NCD-Other,0.890794,0.006771,12818,60
Guinea_worm_disease,NTD,0.888751,0.010074,429,60
Gynecological_diseases,Other,0.895581,0.006387,207352,59
HIV_AIDS,Infectious,0.898134,0.007023,222246,60
Headache_disorders,Other,0.893176,0.008300,99995,59
Hemoglobinopathies_and_hemolytic_anemias,Other,0.893356,0.007928,38043,60
Hodgkin_lymphoma,NCD-Cancer,0.890351,0.006809,27318,60
Hypertensive_heart_disease,NCD-CVD,0.895016,0.008049,228464,59
Idiopathic_developmental_intellectual_disability,Mental,0.896362,0.008228,63611,60
Idiopathic_epilepsy,NCD-Other,0.897635,0.006997,74509,60
Inflammatory_bowel_disease,NCD-Other,0.895241,0.006776,95884,59
